gen 08 00:16:49|5[info]08/01/2015 00:16:49 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:16:53|5[info]08/01/2015 00:16:53 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:17:03|5[info]08/01/2015 00:17:03 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:17:29|5[info]08/01/2015 00:17:29 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:17:38|5[info]08/01/2015 00:17:38 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:17:42|5[info]08/01/2015 00:17:42 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = Search][gm = 34][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:18:01|5[info]08/01/2015 00:18:01 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:18:09|5[info]08/01/2015 00:18:09 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:18:22|5[info]08/01/2015 00:18:22 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:18:24|5[info]08/01/2015 00:18:24 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:18:27|5[info]08/01/2015 00:18:27 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = ProductInfo][id_giacenza = 28][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:18:30|5[info]08/01/2015 00:18:30 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:19:36|5[info]08/01/2015 00:19:36 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = Search][gm = 40][is_ajax = 1][layout = thumb][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:19:38|5[info]08/01/2015 00:19:38 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:19:55|5[info]08/01/2015 00:19:55 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:20:03|5[info]08/01/2015 00:20:03 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:20:11|5[info]08/01/2015 00:20:11 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:20:13|5[info]08/01/2015 00:20:13 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 08 00:20:20|5[info]08/01/2015 00:20:20 - [UTENTE = alberto][REMOTE IP = 95.232.197.223][act = ProductInfo][id_giacenza = 41][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
