40057;Achillea ESTERNO;MILLEFOLIUM CERISE QUEEN;;ESTERNO;
321692;Achillea ESTERNO;MILLEFOLIUM DESERT EVE LIGHT YELLOW;GIALLO CHIARO;ESTERNO;
321693;Achillea ESTERNO;MILLEFOLIUM DESERT EVE YELLOW;GIALLO;ESTERNO;
40062;Achillea ESTERNO;MILLEFOLIUM HOFFNUNG;;ESTERNO;
40064;Achillea ESTERNO;MILLEFOLIUM LACHSSCH NHEIT;ARANCIO;ESTERNO;
40066;Achillea ESTERNO;MILLEFOLIUM LILAC BEAUTY;VIOLA CHIARO;ESTERNO;
51614;Achillea ESTERNO;MILLEFOLIUM SUMMER PASTELS;;ESTERNO;
40070;Achillea ESTERNO;MILLEFOLIUM SUMMERWINE;ROSSO SCURO;ESTERNO;
40072;Achillea ESTERNO;MILLEFOLIUM WHITE QUEEN;;ESTERNO;
40091;Achillea ESTERNO;MOONSHINE;GIALLO;ESTERNO;
6510;Achillea ESTERNO;OVERIG;;ESTERNO;
40079;Achillea ESTERNO;PTARMICA;;ESTERNO;
50886;Achillea ESTERNO;PTARMICA NANA COMPACTA;;ESTERNO;
40082;Achillea ESTERNO;PTARMICA THE PEARL;BIANCO;ESTERNO;
40085;Achillea ESTERNO;TAYGETEA;GIALLO;ESTERNO;
40086;Achillea ESTERNO;TOMENTOSA;;ESTERNO;
40087;Achillea ESTERNO;UMBELLATA;;ESTERNO;
9009;Achimenes VASO;BLAUW;;PIANTE;
8017;Achimenes VASO;OVERIG;;PIANTE;
8390;Achimenes VASO;ROOD;;PIANTE;
9008;Achimenes VASO;ROZE;;PIANTE;
1109;Aconitum;CARMICHAELII ARENDSII;BLU SCURO;FIORI;
20647;Aconitum;CARMICHAELII AUTUMN BLUE;BLU SCURO;FIORI;
26222;Aconitum;CARMICHAELII CLOUDY;BIANCO;FIORI;
380;Aconitum;CARMICHAELII HEIDY;BLU SCURO;FIORI;
378;Aconitum;CARMICHAELII ROSALINA;BLU SCURO;FIORI;
1108;Aconitum;HENRYI SPARKS VARIETY;BLU SCURO;FIORI;
6224;Aconitum;NAPELLUS ALBUM;BIANCO;FIORI;
3547;Aconitum;NAPELLUS SUBSP. PYRAMIDALE;BLU SCURO;FIORI;
215;Aconitum;OVERIG;;FIORI;
2709;Aconitum;SCHNEEWITTCHEN;GRIGIO CHIARO;FIORI;
6223;Aconitum;X CAMMARUM BICOLOR;BIANCO;FIORI;
24261;Aconitum;X CAMMARUM FRANZ MARC;VIOLA SCURO;FIORI;
19970;Aconitum;X CAMMARUM PINK SENSATION;ROSA CHIARO;FIORI;
40111;Aconitum ESTERNO;CARMICHAELII;;ESTERNO;
40112;Aconitum ESTERNO;CARMICHAELII ARENDSII;BLU SCURO;ESTERNO;
40113;Aconitum ESTERNO;CARMICHAELII BARKERS VARIETY;;ESTERNO;
40118;Aconitum ESTERNO;HENRYI SPARKS VARIETY;BLU SCURO;ESTERNO;
40120;Aconitum ESTERNO;LAMARCKII;;ESTERNO;
40121;Aconitum ESTERNO;NAPELLUS;;ESTERNO;
40122;Aconitum ESTERNO;NAPELLUS ALBUM;BIANCO;ESTERNO;
40127;Aconitum ESTERNO;NAPELLUS RUBELLUM;;ESTERNO;
6513;Aconitum ESTERNO;OVERIG;;ESTERNO;
