CAME18;CAMELIA JAPONICA VASO 18;1;2;3;8053369654638;
CAME18EC;CAMELIA JAPONICA VASO 18;1;2;3;9900000018559;
CAME21;CAMELIA V21;1;2;3;9900000018122;
CAMO;CAMOMILLA;1;2;3;9900000008376;
CAMO14;CAMOMILLA V14;1;2;3;8053369650937;
CAMP;CAMPANULA;1;2;3;9900000000776;
CAMP14GL;CAMPANULA GLOMERATA V14;1;2;3;8053369651552;
CAMP14ME;CAMPANULA MEDIUM VASO 14;1;2;3;8053369656830;
CAMP10;CAMPANULA Portenschlagiana VASO 10;1;2;3;8053369652092;
CAMP14;CAMPANULA Portenschlagiana VASO 14;1;2;3;8053369651941;
CAMP11;CAMPANULA V11;1;2;3;9900000003890;
CAMP12;CAMPANULA V12;1;2;3;9900000011895;
CAMP16;CAMPANULA V16;1;2;3;9900000012076;
CAMP16BK;CAMPANULA V16 BKT;1;2;3;9900000012083;
CAMP18;CAMPANULA V18;1;2;3;9900000017675;
CAMP20;CAMPANULA V20;1;2;3;9900000011826;
CAMP20CI;CAMPANULA V20 CIOTOLA;1;2;3;9900000012014;
CAMP22;CAMPANULA V22;1;2;3;9900000011963;
CANN;CANNA INDICA;1;2;3;9900000008093;
CANN14;CANNA INDICA V14;1;2;3;9900000015848;
CANN14;CANNA INDICA V14;1;2;3;8053369656366;
CANN18;CANNA INDICA V18;1;2;3;9900000008109;
CAPP;CAPPERO;1;2;3;9900000000783;
CAPP14;CAPPERO V14;1;2;3;8053369652139;
CAPP18;CAPPERO V18;1;2;3;9900000012373;
CAPS;CAPSICUM;1;2;3;9900000000790;
CAPS14;CAPSICUM *Cajenna* VASO 14;1;2;3;8053369656526;
CAPS14;CAPSICUM *Cajenna* VASO 14;1;2;3;9900000003920;
CAPS12;CAPSICUM V12 MIX;1;2;3;8053369653051;
CAPS13;CAPSICUM V13;1;2;3;9900000018429;
CAPS14BJ;CAPSICUM V14 BIG JIM RED;1;2;3;9900000016388;
CAPS14EX;CAPSICUM V14 EXTRA "cayenna";1;2;3;8053369652993;
CAPS14MI;CAPSICUM V14 MIX;1;2;3;9900000015879;
CAPS14MIEX;CAPSICUM V14 MIX EXTRA;1;2;3;8053369653464;
CAPS14S;CAPSICUM V14 SALSA;1;2;3;9900000017972;
